ID,STORE,NAME,YEAR,VALUE,DESC
116,MC,DuckTales,1988,54.00,"Cajita Feliz de McDonald's (1988) - DuckTales, conjunto de juguetes."
117,MC,The New Archies,1988,54.00,"Cajita Feliz de McDonald's (1988) - The New Archies, conjunto de juguetes."
118,MC,SeaWorld of Ohio,1988,54.00,"Cajita Feliz de McDonald's (1988) - SeaWorld of Ohio, conjunto de juguetes."
119,MC,Fraggle Rock,1988,54.00,"Cajita Feliz de McDonald's (1988) - Fraggle Rock, conjunto de juguetes."
120,MC,CosMc Crayola,1988,54.00,"Cajita Feliz de McDonald's (1988) - CosMc Crayola, conjunto de juguetes."
121,MC,Super Summer,1988,54.00,"Cajita Feliz de McDonald's (1988) - Super Summer, conjunto de juguetes."
122,MC,SeaWorld of Texas,1988,54.00,"Cajita Feliz de McDonald's (1988) - SeaWorld of Texas, conjunto de juguetes."
123,MC,Bambi,1988,54.00,"Cajita Feliz de McDonald's (1988) - Bambi, conjunto de juguetes."
124,MC,Garfield,1988,54.00,"Cajita Feliz de McDonald's (1988) - Garfield, conjunto de juguetes."
125,MC,On the Go Lunch Boxes,1988,54.00,"Cajita Feliz de McDonald's (1988) - On the Go Lunch Boxes, conjunto de juguetes."
126,MC,Olympic Sports,1988,54.00,"Cajita Feliz de McDonald's (1988) - Olympic Sports, conjunto de juguetes."
127,MC,Peter Rabbit,1988,54.00,"Cajita Feliz de McDonald's (1988) - Peter Rabbit, conjunto de juguetes."
128,MC,Zoo Face,1988,54.00,"Cajita Feliz de McDonald's (1988) - Zoo Face, conjunto de juguetes."
129,MC,Halloween Pails,1988,54.00,Cajita Feliz de McDonald's (1988) - Halloween Pails.
130,MC,Storybook Muppet Babies,1988,54.00,Cajita Feliz de McDonald's (1988) - Storybook Muppet Babies.
131,MC,Oliver & Company,1988,54.00,"Cajita Feliz de McDonald's (1988) - Oliver & Company, conjunto de juguetes."
132,MC,McNugget Buddies,1988,54.00,"Cajita Feliz de McDonald's (1988) - McNugget Buddies, conjunto de juguetes."
133,MC,Big Top,1988,54.00,"Cajita Feliz de McDonald's (1988) - Big Top, conjunto de juguetes."
134,MC,Black History,1988,54.00,"Cajita Feliz de McDonald's (1988) - Black History, conjunto de juguetes."
135,MC,The Flintstone Kids,1988,54.00,"Cajita Feliz de McDonald's (1988) - The Flintstone Kids, conjunto de juguetes."
136,MC,Hot Wheels,1988,54.00,"Cajita Feliz de McDonald's (1988) - Hot Wheels, conjunto de juguetes."
137,MC,Luggage Tag,1988,54.00,"Cajita Feliz de McDonald's (1988) - Luggage Tag, conjunto de juguetes."
138,MC,Mac Tonight,1988,54.00,"Cajita Feliz de McDonald's (1988) - Mac Tonight, conjunto de juguetes."
139,MC,Matchbox Super GT,1988,54.00,"Cajita Feliz de McDonald's (1988) - Matchbox Super GT, conjunto de juguetes."
140,MC,McDonaldland Movables,1988,54.00,"Cajita Feliz de McDonald's (1988) - McDonaldland Movables, conjunto de juguetes."
141,MC,Sport Ball Happy Meal,1988,54.00,"Cajita Feliz de McDonald's (1988) - Sport Ball Happy Meal, conjunto de juguetes."
142,MC,Turbo Macs,1988,54.00,"Cajita Feliz de McDonald's (1988) - Turbo Macs, conjunto de juguetes."
143,MC,Bedtime,1989,54.00,"Cajita Feliz de McDonald's (1989) - Bedtime, conjunto de juguetes."
144,MC,Mickey's Birthdayland,1989,54.00,"Cajita Feliz de McDonald's (1989) - Mickey's Birthdayland, conjunto de juguetes."
145,MC,McBunny/Earsan Pails,1989,54.00,Cajita Feliz de McDonald's (1989) - McBunny/Earsan Pails.
146,MC,Little Gardener,1989,54.00,"Cajita Feliz de McDonald's (1989) - Little Gardener, conjunto de juguetes."
147,MC,New Food Changeables,1989,54.00,"Cajita Feliz de McDonald's (1989) - New Food Changeables, conjunto de juguetes."
148,MC,Dinosaur Talking Storybook Happy Meal,1989,54.00,Cajita Feliz de McDonald's (1989) - Dinosaur Talking Storybook Happy Meal.
149,MC,Muppet Kids,1989,54.00,"Cajita Feliz de McDonald's (1989) - Muppet Kids, conjunto de juguetes."
