ID,STORE,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
290,MC,The Little Mermaid,1997,1997-11-28,1997-12-25,
291,MC,101 Dalmatians toys,1997,1997-12-26,1997-12-26,
292,MC,Hercules,1998,1998-01-30,1998-02-26,
293,MC,Peter Pan,1998,1998-02-27,1998-03-26,
294,MC,My Little Pony/Transformers Beast Wars toys,1998,1998-03-27,1998-03-27,
295,MC,Disney's Animal Kingdom,1998,1998-04-24,1998-05-21,
296,MC,Ty Teenie Beanie Babies,1998,1998-05-22,1998-06-18,
297,MC,Mulan toys,1998,1998-06-19,1998-06-19,
298,MC,Tamagotchi Toyz,1998,1998-07-17,1998-07-17,
299,MC,Nascar Hot Wheels/Barbie toys,1998,1998-08-14,1998-08-14,
300,MC,Disney Video Favorites toys,1998,1998-09-11,1998-09-11,
301,MC,Ronald and Pals Haunted Halloween Nerds Candy Dispensers,1998,1998-10-09,1998-10-29,
302,MC,The Lion King 2: Simba's Pride,1998,1998-10-30,1998-11-26,
303,MC,A Bug's Life,1998,1998-11-27,1998-12-24,
304,MC,Recess toys,1998,1998-12-25,1998-12-25,
305,MC,Mulan,1999,1999-01-29,1999-02-25,
306,MC,Winnie the Pooh: Sing a Song with Pooh Bear,1999,1999-02-26,1999-03-25,
307,MC,Furby,1999,1999-03-26,1999-04-22,
308,MC,Mystic Knights of Tir Na Nog toys,1999,1999-04-23,1999-04-23,
309,MC,Ty Teenie Beanie Babies toys,1999,1999-05-21,1999-05-21,
310,MC,Tarzan toys,1999,1999-06-18,1999-06-18,
311,MC,Inspector Gadget,1999,1999-07-16,1999-07-16,
312,MC,Hot Wheels / Barbie toys,1999,1999-08-13,1999-08-13,
313,MC,Doug's 1st Movie toys,1999,,,
314,MC,Halloween Pails,1999,1999-10-15,1999-10-15,
315,MC,Lego toys,1999,1999-10-29,1999-10-29,
316,MC,Toy Story 2 toys,1999,,,
317,MC,Barbie / Hot Wheels toys,1999,1999-12-31,1999-12-31,
318,MC,Disney’s Tarzan on Video,2000,2000-01-28,2000-02-24,
319,MC,An Extremely Goofy Movie,2000,2000-03-03,2000-03-03,
320,MC,Furby,2000,2000-03-23,2000-04-13,
321,MC,Teletubbies,2000,2000-04-14,2000-04-14,
322,MC,Saban’s Power Rangers Lightspeed Rescue,2000,2000-04-28,2000-05-18,
323,MC,Disney's Dinosaur,2000,2000-05-19,2000-06-12,
324,MC,Ty Teenie Beanie Babies,2000,2000-06-13,2000-07-13,
325,MC,Finger Board Pro,2000,2000-07-14,2000-07-14,
326,MC,Hello Kitty/Transformers: Beast Morphers,2000,2000-08-04,2000-08-04,
327,MC,The Tigger Movie,2000,2000-08-25,2000-09-14,
328,MC,Barbie/Hot Wheels,2000,2000-09-15,2000-10-12,
329,MC,Monster Crazy Bones,2000,2000-10-13,2000-11-02,
330,MC,Disney Video Showcase Collection,2000,2000-11-03,2000-11-03,
331,MC,102 Dalmatians,2000,2000-11-21,2000-12-21,
332,MC,The Emperor's New Groove,2000,2000-12-22,2000-01-11,
333,MC,Disney World Resort Millennium Collectables,2000,,,
334,MC,Buzz Lightyear of Star Command,2001,2001-01-12,2001-02-01,
335,MC,Disney’s House of Mouse,2001,2001-02-02,2001-02-02,
336,MC,Poo,2001,2001-02-23,2001-02-23,
337,MC,Spy Kids,2001,2001-03-30,2001-04-18,
338,MC,Tiger Electronics,2001,2001-04-19,2001-05-17,
339,MC,Action Man/Hello Kitty and Friends,2001,2001-05-18,2001-06-14,
340,MC,Disney’s Atlantis: The Lost Empire,2001,2001-06-15,2001-07-10,
341,MC,The Book of Pooh,2001,2001-07-11,2001-08-09,
342,MC,Hot Wheels/Barbie,2001,2001-08-10,2001-09-06,
343,MC,Lego Bionicle/Diva Starz,2001,2001-09-07,2001-09-07,
344,MC,Snow White and the Seven Dwarves,2001,2001-09-28,2001-10-18,
345,MC,Halloween Pails,2001,2001-10-19,2001-11-01,
346,MC,Disney Pixar’s Monsters Inc.,2001,2001-11-02,2001-11-02,
347,MC,Toys “R” Us Animal Alley minis,2001,2001-11-30,2001-12-27,
348,MC,Surprise toys,2001,2001-12-28,2001-12-28,
349,MC,Robo,2002,2002-01-18,2002-01-18,
350,MC,Peter Pan in Return to Never Land,2002,2002-02-15,2002-02-15,
351,MC,Walt Disney World’s 100 Years of Magic,2002,2002-03-08,2002-04-04,
352,MC,Matchbox/Madame Alexander,2002,2002-04-05,2002-04-05,
353,MC,Battlebots,2002,2002-04-26,2002-05-23,
354,MC,The Many Adventures of Winnie the Pooh,2002,2002-05-24,2002-06-13,
355,MC,Disney’s Lilo and Stitch,2002,2002-06-14,2002-07-11,
356,MC,The Country Bears,2002,2002-07-12,2002-08-01,
357,MC,Spy Kids 2: The Island of Lost Dreams,2002,2002-08-02,,
358,MC,Barbie/Hot Wheels,2002,2002-08-23,2002-09-12,
359,MC,Disney’s Beauty and the Beast,2002,2002-09-13,2002-10-03,
360,MC,Lego Galidor,2002,2002-10-04,2002-10-04,
361,MC,Transformers: Armada/Hello Kitty,2002,2002-10-25,2002-11-20,
362,MC,Walt Disney’s Treasure Planet,2002,2002-11-21,2002-12-19,
363,MC,Pinocchio,2002,2002-12-20,2002-01-09,
364,MC,Betty Spaghetty/Tonka,2003,2003-01-24,2003-01-24,
365,MC,Disney’s The Jungle Book 2,2003,2003-02-21,2003-03-13,
366,MC,Inspector Gadget 2,2003,,,
367,MC,NakNak,2003,2003-04-04,2003-05-01,
368,MC,Bratz/He,2003,2003-05-02,2003-05-02,
369,MC,Disney Pixar’s Finding Nemo,2003,2003-05-30,2003-06-26,
370,MC,Sonic the Hedgehog handheld games,2003,2003-06-27,2003-07-24,
371,MC,Spy Kids 3,2003,2003-07-25,2003-08-14,
